State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
AL,Plant H. Allen Franklin,7710,NA,Facility name change from Goat Rock CC on 09/11/2002
MS,"BTEC Southaven, LLC",55219,NA,Facility name change from Duke Energy Southaven on 10/25/2004
MS,"BTEC Southaven, LLC",55219,NA,"Facility name change from Duke Energy Southaven, LLC on 02/11/2002"
MS,"BTEC Southaven, LLC",55219,NA,"Facility name change from Duke Energy Southaven, Llc on 12/13/2001"
MS,"BTEC Southaven, LLC",55219,NA,Facility name change from KGen Southaven LLC on 10/04/2006
CA,Coolwater Generating Station,329,NA,Facility name change from Alta (Cool Water) on 07/19/2002
GA,MPC Generating,7764,NA,Facility name change from Monroe Power Plant on 02/11/2002
GA,Dahlberg (Jackson County),7765,NA,Facility name change from Jackson County Combustion Turbine on 12/13/2001
TX,Twin Oaks,7030,NA,Facility name change from Tnp One on 07/15/2002
TX,Twin Oaks,7030,NA,Facility name change from TNP One on 01/07/2003
GA,Washington County Power,55332,NA,Facility name change from Tiger Creek Power Facility on 04/23/2002
CA,Donald Von Raesfeld,56026,NA,Facility name change from Pico Power Plant on 02/03/2005
AZ,Desert Basin Generating Station,55129,NA,Facility name change from Reliant Energy Desert Basin on 10/27/2003
AZ,Desert Basin Generating Station,55129,NA,Facility name change from Desert Basin - Reliant Energy on 07/15/2002
MS,KGen Enterprise Facility,55373,NA,"Facility name change from KGen Enterprise, LLC on 10/25/2004"
MS,KGen Enterprise Facility,55373,NA,"Facility name change from Duke Energy Enterprise, LLC on 10/25/2004"
MS,KGen Enterprise Facility,55373,NA,"Facility name change from Duke Energy Enterprise, LLC on 02/11/2002"
MS,KGen Enterprise Facility,55373,NA,"Facility name change from Duke Energy Enterprise, Llc on 12/13/2001"
MS,KGen Enterprise Facility,55373,NA,Facility name change from Duke Energy Enterprise on 09/19/2002
MS,KGen Enterprise Facility,55373,NA,Facility name change from KGen Enterprise LLC on 06/21/2006
AR,Dell Power Plant,55340,NA,"Facility name change from TPS - Dell, LLC on 02/11/2002"
AR,Dell Power Plant,55340,NA,"Facility name change from Genpower - Dell, Llc on 12/13/2001"
AR,Dell Power Plant,55340,NA,Facility name change from TPS - Dell on 05/11/2006
TX,Odessa Ector Generating Station,55215,NA,Facility name change from Permian Generating Station on 02/11/2002
TX,Wolf Hollow Generating Station,55139,NA,Facility name change from AES Wolf Hollow on 01/18/2005
OH,Omega JV2 Bowling Green,7783,NA,Facility name change from Amp-ohio Bowling Green on 12/13/2001
CA,"Dynegy South Bay, LLC",310,NA,"Facility name change from Duke Energy South Bay Power Plant, LLC on 05/18/2006"
AR,Hot Spring  Energy Facility,55418,NA,Facility name change from Hot Spring Energy Facility on 10/25/2004
AR,Hot Spring  Energy Facility,55418,NA,Facility name change from Duke Energy Hot Spring LLC on 11/03/2003
TX,Forney Power Plant,55480,NA,Facility name change from Forney Power Plant on 08/03/2005
TX,Oak Grove,6180,NA,Facility name change from Twin Oak on 03/22/2007
NY,"Castleton Power, LLC",10190,NA,Facility name change from Transcanada Power Castleton on 01/15/2002
NY,"Castleton Power, LLC",10190,NA,Facility name change from Castleton on 10/06/2005
ID,Evander Andrews Power Complex,7953,NA,Facility name change from Mountain Home Generation Station on 05/02/2006
MN,Taconite Harbor Energy Center,10075,NA,Facility name change from Rainy River Energy Corporation on 07/15/2002
FL,Reedy Creek,7254,NA,Facility name change from Combined Cycle 1 on 02/11/2002
AR,Harry D. Mattison Power Plant,56328,NA,Facility name change from Tontitown Power Station on 03/06/2007
NJ,Newark Power Plant,50797,NA,Facility name change from Obrien (Newark) Cogeneration on 02/12/2004
TX,"Ennis Power Company, LLC",55223,NA,"Facility name change from Wise County Power Company, Llc on 12/13/2001"
TX,Johnson County Generation Facility,54817,NA,Facility name change from Cleburne Cogeneration Facility on 01/31/2006
IN,Alcoa Allowance Management Inc,6705,NA,Facility name change from Warrick Power Plant on 11/21/2006
IN,Alcoa Allowance Management Inc,6705,NA,"Facility name change from Alcoa Allowance Management, Inc. on 11/21/2006"
IN,Alcoa Allowance Management Inc,6705,NA,Facility name change from Alcoa Warrick Power Plant on 03/20/2007
IN,Alcoa Allowance Management Inc,6705,NA,Facility name change from Warrick on 10/17/2006
VA,Louisa Generation Facility,7837,EU2,Unit ID change from 2 to EU2
VA,Louisa Generation Facility,7837,2,Unit ID change from EU2 to 2
VA,Louisa Generation Facility,7837,EU2,Unit ID change from 2 to EU2
VA,Louisa Generation Facility,7837,EU1,Unit ID change from 1 to EU1
VA,Louisa Generation Facility,7837,1,Unit ID change from EU1 to 1
VA,Louisa Generation Facility,7837,EU1,Unit ID change from 1 to EU1
CO,Rawhide Energy Station,6761,D,Unit ID change from Unit D to D
MN,Blue Lake Generating Plant,8027,8,Unit ID change from 6 to 8
MN,Blue Lake Generating Plant,8027,7,Unit ID change from 5 to 7
MN,Pleasant Valley Station,7843,13,Unit ID change from EU03 to 13
MN,Pleasant Valley Station,7843,12,Unit ID change from EU02 to 12
MN,Pleasant Valley Station,7843,11,Unit ID change from EU01 to 11
FL,Brandy Branch,7846,3,Unit ID change from 003 to 3
FL,Brandy Branch,7846,2,Unit ID change from 002 to 2
FL,Brandy Branch,7846,1,Unit ID change from 001 to 1
LA,Perryville Power Station,55620,1-Feb,Unit ID change from CT3 to 2-1
LA,Perryville Power Station,55620,2-Jan,Unit ID change from CT2 to 1-2
LA,Perryville Power Station,55620,1-Jan,Unit ID change from CT1 to 1-1
PA,"Fairless Energy, LLC",55298,2B,Unit ID change from 4 to 2B
PA,"Fairless Energy, LLC",55298,2A,Unit ID change from 3 to 2A
PA,"Fairless Energy, LLC",55298,1B,Unit ID change from 2 to 1B
PA,"Fairless Energy, LLC",55298,2,Unit ID change from CT2 to 2
PA,"Fairless Energy, LLC",55298,1A,Unit ID change from 1 to 1A
PA,"Fairless Energy, LLC",55298,1,Unit ID change from CT1 to 1
FL,Lauderdale,613,GFL09,Unit ID change from GFL9 to GFL09
FL,Lauderdale,613,GFL08,Unit ID change from GFL8 to GFL08
FL,Lauderdale,613,GFL07,Unit ID change from GFL7 to GFL07
FL,Lauderdale,613,GFL06,Unit ID change from GFL6 to GFL06
FL,Lauderdale,613,GFL05,Unit ID change from GFL5 to GFL05
FL,Lauderdale,613,GFL04,Unit ID change from GFL4 to GFL04
FL,Lauderdale,613,GFL03,Unit ID change from GFL3 to GFL03
FL,Lauderdale,613,GFL02,Unit ID change from GFL2 to GFL02
FL,Lauderdale,613,GFL01,Unit ID change from GFL1 to GFL01
FL,Port Everglades,617,GPE09,Unit ID change from GPE9 to GPE09
FL,Port Everglades,617,GPE08,Unit ID change from GPE8 to GPE08
FL,Port Everglades,617,GPE07,Unit ID change from GPE7 to GPE07
FL,Port Everglades,617,GPE06,Unit ID change from GPE6 to GPE06
FL,Port Everglades,617,GPE05,Unit ID change from GPE5 to GPE05
FL,Port Everglades,617,GPE04,Unit ID change from GPE4 to GPE04
FL,Port Everglades,617,GPE03,Unit ID change from GPE3 to GPE03
FL,Port Everglades,617,GPE02,Unit ID change from GPE2 to GPE02
FL,Port Everglades,617,GPE01,Unit ID change from GPE1 to GPE01
CA,Goose Haven Energy Center,55627,UNIT1,Unit ID change from 1 to UNIT1
LA,Teche Power Station,1400,4,Unit ID change from CT-01 to 4
NH,Granite Ridge Energy,55170,2,Unit ID change from 2 to 0002
NH,Granite Ridge Energy,55170,1,Unit ID change from 1 to 0001
MN,Laskin Energy Center,1891,NA,Facility name change from Syl Laskin on 08/15/2005
MN,Boswell Energy Center,1893,NA,Facility name change from Clay Boswell on 08/15/2005
MN,Hibbard Energy Center,1897,NA,Facility name change from M L Hibbard on 08/15/2005
NJ,Howard M Down,2434,NA,Facility name change from Howard M on 01/22/2004
TX,New Gulf Power Facility,50137,NA,Facility name change from Newgulf on 11/01/2006
IL,"Geneva Energy, LLC",55174,NA,Facility name change from New Heights Recovery & Power on 03/09/2006
MO,Dogwood Energy Facility,55178,NA,Facility name change from MEP Pleasant Hill-Aries Power Proj on 02/11/2005
CT,New Haven Harbor,6156,NA,Facility name change from Wisvest - New Haven Harbor on 01/07/2003
UT,Hunter,6165,NA,Facility name change from Hunter (Emery) on 06/07/2006
KY,John S. Cooper,1384,NA,Facility name change from Cooper on 08/15/2002
KY,William C. Dale,1385,NA,Facility name change from Dale on 08/15/2002
TX,"AES Western Power, LLC",3461,NA,Facility name change from Deepwater on 12/14/2005
CA,CalPeak Power - Enterprise,55513,NA,Facility name change from Enterprise No. 7 - Cal Peak Power on 03/04/2002
CA,Yuba City Energy Center,10349,NA,Facility name change from Greenleaf II Energy Center on 05/27/2003
AR,Fulton,7825,NA,Facility name change from Ct1 on 12/13/2001
AR,Fulton,7825,NA,Facility name change from CT1 on 02/11/2002
NY,Bethpage Energy Center,50292,NA,"Facility name change from CPN Bethpage 3rd Turbine, Inc. on 02/23/2005"
NY,Bethpage Energy Center,50292,NA,Facility name change from TBG Cogen on 10/31/2002
OH,Omega JV2 Hamilton,7782,NA,Facility name change from Amp-ohio Hamilton on 12/13/2001
WI,"Appleton Coated, LLC",55558,NA,Facility name change from Appleton Coated Locks Mill on 09/28/2006
CA,Lambie Energy Center,55626,NA,Facility name change from Panda West Power II on 07/19/2002
NY,"Syracuse, LLC",10621,NA,Facility name change from CH Resources - Syracuse on 07/15/2002
NY,"Syracuse, LLC",10621,NA,"Facility name change from WPS Empire State, Inc-Syracuse on 09/28/2006"
KY,Smith Generating Facility,54,NA,Facility name change from J K Smith on 03/04/2002
LA,Plaquemine Cogen Facility,55419,NA,Facility name change from Placquemine Cogen Facility on 11/15/2006
IL,Raccoon Creek Power Plant,55417,NA,Facility name change from MEP Flora Power on 04/13/2006
DE,Warren F. Sam Beasley Pwr Station,7962,NA,Facility name change from Delaware Municipal Electric Corp on 07/15/2002
CO,Frank Knutson Station,55505,NA,Facility name change from Brighton Generating Station on 05/20/2003
CA,CalPeak Power - Panoche,55508,NA,Facility name change from Panoche No. 2 - Cal Peak Power on 03/04/2002
CA,CalPeak Power - Border,55510,NA,Facility name change from Lonestar No. 4 - Cal Peak Power on 03/04/2002
TX,Exelon Laporte Generating Station,55365,NA,Facility name change from Peco Laporte Peaking Facility on 12/13/2001
PA,"Allegheny Energy Units 3, 4 & 5",55710,NA,Facility name change from Allegheny Energy on 09/26/2002
ID,Bennett Mountain Power Project,55733,NA,Facility name change from Mountain Home Energy Project on 04/12/2004
NC,Rockingham County Combustion Turbine,55116,NA,Facility name change from Rockingham Power on 11/27/2006
GA,Walton County Power,55128,NA,Facility name change from LG&E Power Monroe on 04/23/2002
CA,Mountainview Generating Station,358,NA,Facility name change from Mountainview (San Bernadino) on 07/15/2002
PA,Mt. Carmel Cogeneration,10343,NA,Facility name change from Foster Wheeler Mt. Carmel on 01/07/2003
MI,New Covert Generating Project,55297,NA,Facility name change from Covert Generating Project on 11/12/2004
OH,Waterford Plant,55503,NA,Facility name change from PSEG Waterford Energy Facility on 12/13/2001
NC,"Edgecombe Genco, LLC",10384,NA,Facility name change from Cogentrix-Rocky Mount on 03/21/2006
MO,South Harper Peaking Facility,56151,NA,Facility name change from Camp Branch Energy Center on 01/07/2005
NY,Caithness Long Island Energy Center,56234,NA,Facility name change from Caithness Bellport Energy Center on 10/25/2005
NV,Walter M. Higgins III Generating Station,55687,NA,Facility name change from Bighorn Electric Generating Station on 01/08/2004
NC,NCEMC Anson Plant,56249,NA,Facility name change from Anson County Generation on 03/20/2006
TX,Calpine Hidalgo Energy Center,7762,NA,Facility name change from Hidalgo Energy Facility on 06/22/2005
AZ,Gila River Power Station,55306,NA,Facility name change from Panda Gila River on 09/04/2003
AZ,Gila River Power Station,55306,NA,"Facility name change from Panda Gila River, LP on 04/25/2002"
AZ,Gila River Power Station,55306,NA,"Facility name change from Panda Gila River, LP on 12/13/2001"
AZ,"New Harquahala Generating Company, LLC",55372,NA,Facility name change from Harquahala Generating Project on 03/24/2005
ME,Bucksport Generation LLC,50243,NA,Facility ID (ORISPL) change from 55180 to 50243
MS,Kemper County,7960,NA,Facility ID (ORISPL) change from 7923 to 7960
DE,NRG Energy Center Dover,10030,NA,Facility ID (ORISPL) change from 880002 to 10030
NY,Astoria Gas Turbine Power,55243,NA,Facility ID (ORISPL) change from 8906 to 55243
NY,Pouch Terminal,8053,NA,Facility ID (ORISPL) change from 7911 to 8053
CA,"Delta Energy Center, LLC",55333,NA,Facility ID (ORISPL) change from 54001 to 55333
IL,Rockford II Energy Center,55936,NA,Facility ID (ORISPL) change from 55461 to 55936
MS,"Caledonia Power I, LLC",55082,NA,Facility ID (ORISPL) change from 2783 to 55082
WI,Sheboygan Falls Energy Facility,56166,NA,Facility ID (ORISPL) change from 56186 to 56166
CO,Brush Power Projects,10682,NA,Facility ID (ORISPL) change from 55209 to 10682
LA,Perryville Power Station,55620,NA,Facility ID (ORISPL) change from 7864 to 55620
TN,Brownsville CT,55081,NA,Facility ID (ORISPL) change from 2387 to 55081
UT,Desert Power Plant,55858,NA,Facility ID (ORISPL) change from 55848 to 55858
AL,Plant H. Allen Franklin,7710,NA,Facility ID (ORISPL) change from 7840 to 7710
CA,Donald Von Raesfeld,56026,NA,Facility ID (ORISPL) change from 8058 to 56026
TX,Baytown Energy Center,55327,NA,Facility ID (ORISPL) change from 55195 to 55327
MN,Lakefield Junction Generating,7925,NA,Facility ID (ORISPL) change from 55140 to 7925
KS,Chanute 2,1268,NA,Facility ID (ORISPL) change from 3355 to 1268
SC,Jasper County Generating Facility,55927,NA,Facility ID (ORISPL) change from 7996 to 55927
TX,Sand Hill Energy Center,7900,NA,Facility ID (ORISPL) change from 1700 to 7900
NC,"Edgecombe Genco, LLC",10384,NA,Facility ID (ORISPL) change from 50468 to 10384
NV,Chuck Lenzie Generating Station,55322,CTG-4,Unit ID change from CTG4 to CTG-4
NV,Chuck Lenzie Generating Station,55322,CTG-3,Unit ID change from CTG3 to CTG-3
NV,Chuck Lenzie Generating Station,55322,CTG-2,Unit ID change from CTG2 to CTG-2
NV,Chuck Lenzie Generating Station,55322,CTG-1,Unit ID change from CTG1 to CTG-1
FL,Northside,667,GT6,Unit ID change from 6 to GT6
FL,Northside,667,GT5,Unit ID change from 5 to GT5
FL,Northside,667,GT4,Unit ID change from 4 to GT4
CA,El Segundo,330,7,Unit ID change from 6 to 7
MS,Ackerman Combined Cycle,55694,AA-002,Unit ID change from CT-2 to AA-002
MS,Ackerman Combined Cycle,55694,AA-001,Unit ID change from CT-1 to AA-001
FL,"Quantum Pasco Power, LP",54424,EU002,Unit ID change from 002 to EU002
FL,"Quantum Pasco Power, LP",54424,EU001,Unit ID change from 001 to EU001
TX,"AES Deepwater, Inc.",10670,1001,Unit ID change from 1001 to 01001
WI,West Campus Cogeneration Facility,7991,U2,Unit ID change from B02 to U2
WI,West Campus Cogeneration Facility,7991,U1,Unit ID change from B01 to U1
AZ,Santan,8068,6A,Unit ID change from 6 to 6A
IL,Aurora,55279,AGS09,Unit ID change from AGS9 to AGS09
IL,Aurora,55279,AGS08,Unit ID change from AGS8 to AGS08
IL,Aurora,55279,AGS07,Unit ID change from AGS7 to AGS07
IL,Aurora,55279,AGS06,Unit ID change from AGS6 to AGS06
IL,Aurora,55279,AGS05,Unit ID change from AGS5 to AGS05
IL,Aurora,55279,AGS04,Unit ID change from AGS4 to AGS04
IL,Aurora,55279,AGS03,Unit ID change from AGS3 to AGS03
IL,Aurora,55279,AGS02,Unit ID change from AGS2 to AGS02
IL,Aurora,55279,AGS01,Unit ID change from AGS1 to AGS01
CA,Carson Cogeneration Company,10169,D1,Unit ID change from 1 to D1
NY,Empire Generating Company LLC,56259,CT-2,Unit ID change from 2 to CT-2
NY,Empire Generating Company LLC,56259,CT-1,Unit ID change from 1 to CT-1
NY,Astoria Generating Station,8906,42RH,Unit ID change from 41SH to 42RH
NY,Astoria Generating Station,8906,32SH,Unit ID change from 31RH to 32SH
FL,Santa Rosa Energy Center,55242,CT-1,Unit ID change from COG01 to CT-1
PA,"Armstrong Power, LLC",55347,4,Unit ID change from UNIT4 to 4
PA,"Armstrong Power, LLC",55347,UNIT4,Unit ID change from 0UNIT4 to UNIT4
PA,"Armstrong Power, LLC",55347,3,Unit ID change from UNIT3 to 3
PA,"Armstrong Power, LLC",55347,UNIT3,Unit ID change from 0UNIT3 to UNIT3
PA,"Armstrong Power, LLC",55347,2,Unit ID change from UNIT2 to 2
PA,"Armstrong Power, LLC",55347,UNIT2,Unit ID change from 0UNIT2 to UNIT2
PA,"Armstrong Power, LLC",55347,1,Unit ID change from UNIT1 to 1
PA,"Armstrong Power, LLC",55347,UNIT1,Unit ID change from 0UNIT1 to UNIT1
OH,"Troy Energy, LLC",55348,4,Unit ID change from UNIT4 to 4
OH,"Troy Energy, LLC",55348,UNIT4,Unit ID change from 0UNIT4 to UNIT4
OH,"Troy Energy, LLC",55348,3,Unit ID change from UNIT3 to 3
OH,"Troy Energy, LLC",55348,UNIT3,Unit ID change from 0UNIT3 to UNIT3
OH,"Troy Energy, LLC",55348,2,Unit ID change from UNIT2 to 2
OH,"Troy Energy, LLC",55348,UNIT2,Unit ID change from 0UNIT2 to UNIT2
OH,"Troy Energy, LLC",55348,1,Unit ID change from UNIT1 to 1
OH,"Troy Energy, LLC",55348,UNIT1,Unit ID change from 0UNIT1 to UNIT1
WV,"Pleasants Energy, LLC",55349,2,Unit ID change from TURB2 to 2
WV,"Pleasants Energy, LLC",55349,1,Unit ID change from TURB1 to 1
IN,Sugar Creek Generating Station,55364,CT22,Unit ID change from 00CT22 to CT22
IN,Sugar Creek Generating Station,55364,CT21,Unit ID change from 00CT21 to CT21
IN,Sugar Creek Generating Station,55364,CT12,Unit ID change from 00CT12 to CT12
IN,Sugar Creek Generating Station,55364,CT11,Unit ID change from 00CT11 to CT11
IL,Rockford II Energy Center,55936,U1,Unit ID change from 001 to U1
CA,Chula Vista Energy Center,55540,1B,Unit ID change from CT1B to 1B
CA,Chula Vista Energy Center,55540,1A,Unit ID change from CT1A to 1A
NE,Beatrice,8000,2,Unit ID change from CT2 to 2
NE,Beatrice,8000,1,Unit ID change from CT1 to 1
MN,Benson Power Biomass Plant,55867,BLR-1,Unit ID change from EU-001 to BLR-1
AR,Oswald Generating Station,55221,G7,Unit ID change from SN7 to G7
AR,Oswald Generating Station,55221,G6,Unit ID change from SN6 to G6
AR,Oswald Generating Station,55221,G5,Unit ID change from SN5 to G5
AR,Oswald Generating Station,55221,G4,Unit ID change from SN4 to G4
AR,Oswald Generating Station,55221,G3,Unit ID change from SN3 to G3
AR,Oswald Generating Station,55221,G2,Unit ID change from SN2 to G2
AR,Oswald Generating Station,55221,G1,Unit ID change from SN1 to G1
TX,South Houston Green Power Site,55470,EPN803,Unit ID change from COGTR3 to EPN803
TX,South Houston Green Power Site,55470,EPN802,Unit ID change from COGTR2 to EPN802
TX,South Houston Green Power Site,55470,EPN801,Unit ID change from COGTR1 to EPN801
CA,Mariposa Energy Project,57483,GT-4,Unit ID change from GT-7 to GT-4
TX,Nacogdoches Power LLC,55708,CT1,Unit ID change from HRSG-2 to CT1
TX,Nacogdoches Power LLC,55708,BFB-1,Unit ID change from BLR1 to BFB-1
TX,Nacogdoches Power LLC,55708,BLR1,Unit ID change from HRSG-1 to BLR1
PA,"Marcus Hook Energy, LP",55801,AB04,Unit ID change from 0007 to AB04
PA,"Marcus Hook Energy, LP",55801,AB03,Unit ID change from 0006 to AB03
PA,"Marcus Hook Energy, LP",55801,AB02,Unit ID change from 0005 to AB02
PA,"Marcus Hook Energy, LP",55801,AB01,Unit ID change from 0004 to AB01
FL,Martin,6043,PMR8D,Unit ID change from MRCT8B to PMR8D
FL,Martin,6043,PMR8C,Unit ID change from MRCT8A to PMR8C
MO,Iatan,6065,2,Unit ID change from **2 to 2
MS,Crossroads Energy Center (CPU),55395,CT04,Unit ID change from CT-04 to CT04
MS,Crossroads Energy Center (CPU),55395,CT03,Unit ID change from CT-03 to CT03
MS,Crossroads Energy Center (CPU),55395,CT02,Unit ID change from CT-02 to CT02
MS,Crossroads Energy Center (CPU),55395,CT01,Unit ID change from CT-01 to CT01
WI,Rock River,4057,CT3,Unit ID change from 3 to CT3
OH,Edgewater (2857),2857,B,Unit ID change from CTB to B
OH,Edgewater (2857),2857,A,Unit ID change from CTA to A
NC,Richmond County Plant,7805,10,Unit ID change from 14 to 10
NC,Richmond County Plant,7805,9,Unit ID change from 13 to 9
IA,Pella,1175,EP2,Unit ID change from EP#2 to EP2
IA,Pella,1175,EP1,Unit ID change from EP#1 to EP1
MA,Fore River Energy Center,55317,12,Unit ID change from 02 to 12
MA,Fore River Energy Center,55317,11,Unit ID change from 01 to 11
NY,"Hawkeye Energy Greenport, LLC",55969,U-01,Unit ID change from TURB1 to U-01
NJ,Linden Generating Station,2406,2201,Unit ID change from 202 to 2201
NJ,Linden Generating Station,2406,2101,Unit ID change from 201 to 2101
NJ,Linden Generating Station,2406,1201,Unit ID change from 102 to 1201
NJ,Linden Generating Station,2406,1101,Unit ID change from 101 to 1101
VA,Louisa Generation Facility,7837,EU5,Unit ID change from 5 to EU5
VA,Louisa Generation Facility,7837,EU4,Unit ID change from 4 to EU4
VA,Louisa Generation Facility,7837,EU3,Unit ID change from 3 to EU3
WI,"DTE Stoneman, LLC",4146,NA,Facility name change from Stoneman on 09/28/2006
TX,Channelview Cogeneration Facility,55187,NA,Facility name change from Channelview Cogeneration on 07/15/2002
AZ,Arlington Valley Energy Facility,55282,NA,Facility name change from Duke Energy Arlington Valley on 06/05/2006
NY,Richard M Flynn (Holtsville),7314,NA,Facility name change from Richard M Flynn on 01/15/2002
PA,Hunlock Unit 4,56397,NA,Facility name change from Hunlock Unit 4 on 06/21/2006
NV,Chuck Lenzie Generating Station,55322,NA,Facility name change from Moapa Energy Facility on 11/29/2004
NV,Chuck Lenzie Generating Station,55322,NA,Facility name change from Moapa Energy Facility on 02/11/2002
VA,"Spruance Genco, LLC",54081,NA,Facility name change from Cogentrix of Richmond on 03/21/2006
CA,Etiwanda Generating Station,331,NA,Facility name change from Mountain Vista (Etiwanda) on 07/19/2002
CA,Riverside Canal Power Company,334,NA,Facility name change from Riverside Canal (Highgrove) on 07/15/2002
CA,Mandalay Generating Station,345,NA,Facility name change from Ocean Vista (Mandalay) on 07/19/2002
CA,Magnolia (OLD),375,NA,Facility name change from Magnolia 4 on 01/25/2007
GA,Chattahoochee Energy Facility,7917,NA,Facility name change from Heard Energy Facility on 03/07/2003
KS,Osawatomie Generating Station,7928,NA,Facility name change from Paola Peaking Station on 07/08/2003
MS,Watson Electric Generating Plant,2049,NA,Facility name change from Jack Watson on 12/13/2001
OK,Tenaska Kiamichi Generating Station,55501,NA,Facility name change from Kiamichi Energy Facility on 08/12/2003
TN,"Valero Refining Company-Tennessee, LLC",55703,NA,"Facility name change from Williams Refining & Marketing, LLC on 04/23/2003"
IN,State Line Generating Station (IN),981,NA,Facility name change from Mirant State Line Energy (IN) on 07/19/2002
IN,IPL - Harding Street Station (EW Stout),990,NA,Facility name change from Elmer W Stout on 12/13/2001
OH,AMP-Ohio Gas Turbines Bowling Green,55262,NA,Facility name change from PG&E Bowling Green on 09/22/2003
GA,Thomas A. Smith Energy Facility,55382,NA,Facility name change from Duke Energy Murray on 10/31/2002
TX,Sam Rayburn Plant,3631,NA,Facility name change from South Texas Electric Cooperative on 04/07/2004
PA,"WPS Westwood Generation, LLC",50611,NA,Facility name change from Westwood on 09/28/2006
TX,ExxonMobil Beaumont Refinery,50625,NA,Facility name change from Mobil Beaumont Refinery on 02/21/2003
OH,AMP-Ohio Gas Turbines Napoleon,55264,NA,Facility name change from PG&E Napoleon on 09/22/2003
IL,Rockford II Energy Center,55936,NA,Facility name change from Indeck-Rockford II Energy Center on 02/06/2003
NC,Rosemary Power Station,50555,NA,Facility name change from Panda Rosemary on 02/24/2005
VA,Elizabeth River Combustion Turbine Sta,52087,NA,Facility name change from Commonwealth Atlantic LP (Calp) on 12/02/2004
MI,Zeeland Generating Station,55087,NA,Facility name change from Michigan Power Project on 12/13/2001
IL,"Dynegy Lee II, LLC",55236,NA,"Facility name change from Duke Energy Lee, LLC on 02/11/2002"
IL,"Dynegy Lee II, LLC",55236,NA,Facility name change from Lee County Generating Station on 12/13/2001
IL,"Dynegy Lee II, LLC",55236,NA,Facility name change from Duke Energy Lee on 03/13/2003
OH,AMP-Ohio Gas Turbines Galion ,55263,NA,Facility name change from Galion Generating Station on 09/22/2003
CA,CalPeak Power - Vaca Dixon,55499,NA,Facility name change from Vaca-Dixon No. 1- Cal Peak Power on 03/04/2002
MA,"Tanner Street Generation, LLC",54586,NA,Facility name change from UAE Lowell Power LLC on 01/15/2002
MA,"Tanner Street Generation, LLC",54586,NA,"Facility name change from LPG Associates, LLC on 10/03/2006"
MA,"Tanner Street Generation, LLC",54586,NA,"Facility name change from Lowell Power, LLC on 10/03/2006"
TX,South Houston Green Power Site,55470,NA,Facility name change from Green Power on 10/01/2003
IN,IPL - Eagle Valley Generating Station,991,NA,Facility name change from Eagle Valley (H T Pritchard) on 01/04/2005
IN,IPL - Eagle Valley Generating Station,991,NA,Facility name change from H T Pritchard on 12/13/2001
TX,Sweetwater Generating Plant,50615,NA,Facility name change from Encogen One on 07/15/2002
OH,"Dynegy Washington II, LLC",55397,NA,"Facility name change from Duke Energy Washington, LLC on 04/23/2003"
MS,BTEC New Albany LLC,13213,NA,Facility name change from KGen New Albany LLC on 10/04/2006
AL,E B Harris Generating Plant,7897,NA,Facility name change from Autaugaville Cc on 12/17/2001
AL,E B Harris Generating Plant,7897,NA,Facility name change from Autaugaville CC on 07/27/2002
TX,H W Pirkey Power Plant,7902,NA,Facility name change from Pirkey on 09/26/2002
IN,Hoosier Energy Lawrence Co Station,7948,NA,Facility name change from Hoosier Energy Bedford Station on 01/07/2003
PA,Chambersburg Units 12 & 13,55654,NA,Facility name change from Allegheny Energy Chambersburg on 12/13/2001
CA,Goose Haven Energy Center,55627,NA,Facility name change from Panda West Power III on 07/19/2002
